iter	Quantile:alpha=0.5
0	2.106393698
1	2.089237539
2	2.073577856
3	2.05999703
4	2.044755025
5	2.030775188
6	2.019264209
7	2.01054272
8	1.999164342
9	1.987785492
10	1.975484884
11	1.964993828
12	1.952751443
13	1.943457543
14	1.933728746
15	1.924844487
16	1.918780296
17	1.909104111
18	1.900947084
19	1.891464895
20	1.88264663
21	1.875465763
22	1.869466548
23	1.86660077
24	1.863586465
25	1.854871592
26	1.84970395
27	1.844814114
28	1.83649509
29	1.828396301
30	1.820311904
31	1.812904276
32	1.810825735
33	1.808575659
34	1.802293348
35	1.79454199
36	1.787774382
37	1.78339864
38	1.780514774
39	1.777506685
40	1.771239044
41	1.765342858
42	1.759126734
43	1.755144896
44	1.749096117
45	1.743225639
46	1.739030121
47	1.73368468
48	1.728686068
49	1.725747445
50	1.720968707
51	1.718907419
52	1.714039769
53	1.711589228
54	1.707844383
55	1.703649892
56	1.698967081
57	1.694365411
58	1.689976064
59	1.685926918
60	1.682037625
61	1.679100295
62	1.674951205
63	1.671424046
64	1.668062018
65	1.666295696
66	1.663097969
67	1.659848586
68	1.657955998
69	1.655645136
70	1.653155519
71	1.650403738
72	1.647191177
73	1.644918329
74	1.642574482
75	1.641326596
76	1.639386474
77	1.637956313
78	1.636225582
79	1.633994871
80	1.632023716
81	1.630044372
82	1.627614582
83	1.625792803
84	1.623966388
85	1.622434439
86	1.620871269
87	1.619118071
88	1.617263168
89	1.6154315
90	1.613531731
91	1.612212948
92	1.610716808
93	1.609045538
94	1.607520947
95	1.606455629
96	1.605661251
97	1.605129434
98	1.604248823
99	1.603863049
100	1.602429361
101	1.602124453
102	1.600687323
103	1.599353757
104	1.598185459
105	1.596417891
106	1.595017921
107	1.593622182
108	1.592115089
109	1.591010644
110	1.590140656
111	1.58887368
112	1.588110983
113	1.586932346
114	1.586254012
115	1.58509235
116	1.584592818
117	1.582916388
118	1.582788113
119	1.582166506
120	1.580729712
121	1.580057713
122	1.579801143
123	1.578766922
124	1.577540465
125	1.575972012
126	1.575178689
127	1.574419718
128	1.573687338
129	1.573265316
130	1.572315886
131	1.571680254
132	1.571634573
133	1.571013917
134	1.570194513
135	1.568901583
136	1.568454421
137	1.567657861
138	1.566803523
139	1.566405955
140	1.565964848
141	1.565217603
142	1.56448928
143	1.563993072
144	1.563306048
145	1.56267019
146	1.562030104
147	1.561648295
148	1.561090767
149	1.560453506
150	1.559819187
151	1.559351954
152	1.559057609
153	1.558698703
154	1.558384783
155	1.557825309
156	1.557005522
157	1.556692816
158	1.556007496
159	1.55575492
160	1.554874573
161	1.55455844
162	1.554172114
163	1.552876362
